GEOID,gap
17051,1.6
17107,-0.26
17097,-0.46
18181,0.0
18157,1.15
18005,15.2
18113,13.64
18019,0.8
18063,0.49
18071,-0.03
18029,-0.34
18055,12.84
19061,2.65
19033,3.78
19099,2.65
19017,2.03
19097,1.75
19111,2.03
19123,14.11
19041,8.0
19055,14.08
13025,1.2
13047,13.3
13087,0.55
13117,-0.31
13137,0.26
13185,0.7
13199,11.22
19163,0.56
05041,-0.52
05049,-0.68
05061,0.46
05051,1.24
05093,12.26
05115,-0.38
05139,0.13
05057,0.24
05143,1.19
05031,0.58
05019,-0.13
05119,1.19
06047,2.44
06043,2.34
06013,-0.29
06027,-0.03
06099,0.33
06083,0.67
06103,3.95
06051,0.45
13039,-0.06
13077,-0.25
13123,0.39
13297,-0.42
13129,11.93
13057,-0.29
13121,0.99
15001,0.38
15003,0.85
15007,0.52
16063,1.84
16085,0.63
16069,14.01
16055,0.12
16013,4.05
16023,0.08
16001,0.45
16011,-0.62
16051,-0.46
41039,1.09
51113,1.12
51161,0.47
06067,0.1
06017,0.12
06053,0.8
06075,0.01
06073,0.99
06107,1.53
06023,1.71
06039,1.97
06087,1.55
06105,0.36
06065,0.43
06071,0.42
06041,-0.38
06061,0.03
06089,0.34
06095,-0.17
28049,0.45
28071,0.79
28065,9.56
28123,0.23
28133,-0.16
42045,0.22
42111,0.6
29215,-0.1
29027,0.0
29053,0.21
51191,1.74
51510,-0.03
51650,0.98
51013,0.05
51027,1.98
51179,-0.5
51760,0.79
51685,-0.47
51683,-0.45
51037,1.44
53067,1.07
72067,5.65
29017,0.84
47165,-0.46
17149,0.16
17163,0.77
17173,12.73
17019,1.01
17089,-0.51
17093,-0.51
17121,0.08
17025,2.2
17201,1.51
17007,0.01
17011,-0.54
17029,0.77
17103,14.9
17189,1.98
41067,0.69
42017,-0.3
42077,1.07
42031,-0.57
42079,0.81
42065,0.85
44003,-0.04
44009,-0.05
45027,10.46
45011,11.47
45091,-0.53
45021,0.19
06021,10.65
06007,1.37
06031,0.74
06079,1.81
06019,1.16
06029,1.06
06059,1.08
06111,0.47
06101,-0.29
06081,0.02
06077,-0.3
06005,0.33
08031,0.24
08051,0.03
08123,0.72
08035,-0.15
08097,0.08
08105,-0.02
08069,1.82
08075,2.3
08113,1.11
08039,-0.33
08117,0.21
08003,0.08
08029,0.76
08087,1.67
08014,-0.14
10005,0.64
11001,0.12
09009,0.72
09003,1.28
47157,1.05
47089,0.9
47037,0.92
47125,0.38
47131,-0.21
47065,1.03
47163,2.63
36095,-0.25
36083,1.07
36033,0.96
36081,0.21
36115,2.72
36061,0.14
36011,1.19
36087,-0.04
36063,1.35
36059,-0.33
36097,-0.01
36017,0.26
36103,-0.35
36121,1.69
36075,2.21
36117,3.16
36007,2.09
36029,1.06
36105,-0.24
36071,-0.35
37067,1.57
18089,-0.14
18001,13.47
18021,-0.11
18067,3.32
18175,1.19
18027,12.71
48473,-0.37
48329,4.81
48041,0.91
48029,1.04
48121,0.36
48167,-0.08
48037,3.14
48453,0.75
48213,0.45
48221,-0.27
09015,1.47
09011,1.08
09007,-0.2
09013,0.24
09001,-0.41
12133,0.41
12031,0.93
12007,0.7
12009,1.01
12069,1.43
12089,-0.03
12103,1.2
12105,0.59
12111,0.84
12043,0.34
12051,2.1
12061,0.29
12109,0.86
12117,0.68
12005,1.03
12035,0.43
12097,0.6
12039,0.39
12083,0.56
12049,0.92
12093,0.08
12095,0.99
12001,1.16
12015,-0.08
12115,0.59
12081,0.69
12017,1.17
12073,1.13
12011,1.06
12087,0.9
12053,1.02
12057,1.1
13095,1.05
13255,0.05
18003,1.17
18031,-0.1
18035,0.61
18077,-0.45
18081,1.65
18111,-0.14
18141,1.17
18085,3.02
18099,0.37
18163,1.13
18105,2.26
18039,0.43
18097,1.0
18177,0.26
19173,7.62
19175,2.2
19103,0.67
19107,-0.09
19069,1.31
19031,1.91
37031,1.96
37015,3.1
37157,0.09
37071,1.56
37125,1.17
37037,-0.32
37101,2.18
37107,0.48
37133,0.65
37023,4.07
38017,1.18
39105,0.04
39057,0.78
39175,0.2
39043,2.46
39153,1.49
16043,-0.62
16065,-0.64
16049,1.04
17119,0.74
17063,-0.22
17091,0.73
17043,-0.49
17099,3.47
17031,-0.04
17115,3.11
17177,1.36
17191,1.67
17055,0.81
17111,-0.46
20091,-0.23
20177,1.06
21037,0.94
21229,0.51
21033,1.02
21019,2.16
21067,1.2
21199,0.69
21145,0.0
46015,11.9
46099,2.98
46027,0.17
46005,8.19
46035,2.01
46023,0.05
21117,0.75
22079,1.07
22039,5.9
22087,0.36
22069,-0.63
22041,0.69
22007,0.0
23019,0.74
23005,0.77
23031,0.33
24047,2.17
25001,-0.24
25003,1.05
25023,-0.36
25021,-0.17
26003,1.76
26127,11.49
26035,1.5
26073,0.84
26157,3.22
26007,1.29
26111,2.93
26037,2.79
26091,1.74
26147,4.8
26161,0.91
26143,0.23
26075,1.03
26099,0.91
26045,2.31
13225,12.29
13223,-0.21
13245,1.37
13267,11.21
17195,1.33
17001,1.52
17027,0.66
17037,1.57
17081,0.68
17197,-0.46
17049,4.62
17057,1.26
17065,1.97
17095,3.8
17105,1.26
17179,0.57
18091,0.61
18169,0.38
18073,2.95
18127,-0.48
18159,-0.42
18167,0.46
18173,0.97
18087,13.98
18139,-0.09
26053,9.74
27045,-0.19
27119,0.41
27165,-0.09
27011,4.82
27021,0.76
27141,-0.15
27019,-0.25
27085,4.73
27123,0.36
27169,0.08
27039,-0.09
27035,0.93
27171,-0.22
27095,0.58
27017,1.33
27065,2.18
01115,0.68
01069,1.21
01013,-0.25
02110,0.71
02290,0.25
02105,0.8
04019,0.89
04003,0.49
04001,0.12
04027,1.29
04017,0.73
05035,0.03
13295,-0.05
13135,-0.06
13013,0.14
13015,0.14
13097,0.04
13313,0.14
13145,0.74
13103,-0.18
13051,1.39
13205,0.42
13233,-0.87
13319,11.97
13089,0.75
39149,2.61
39171,-0.07
39029,2.24
39051,-0.35
39099,1.22
39117,1.35
05129,-0.1
05007,2.81
08013,0.22
08107,0.48
08019,-0.59
08101,0.92
08093,-0.22
08077,1.24
08041,1.03
08005,0.27
10003,0.66
10001,0.75
09005,-0.36
12099,0.94
12086,0.57
12037,0.87
12047,-0.62
12071,1.14
12021,1.6
12101,0.7
12127,0.49
12033,0.86
13187,10.58
13151,-0.16
13021,2.06
13119,0.49
13253,0.09
39003,0.96
39059,0.9
39023,0.33
39093,1.23
39113,1.53
39165,0.16
39007,0.58
40071,0.97
40139,7.23
40031,0.77
40019,0.64
40115,0.79
40145,0.34
40101,-0.07
40013,-0.01
41029,1.18
41005,0.25
41009,-0.24
41065,-0.15
13247,-0.34
13059,1.24
13157,0.07
13215,1.84
13067,0.79
13217,-0.02
13071,0.18
13063,0.57
15009,0.81
16005,-0.59
16019,-0.57
17167,1.51
17141,2.96
17193,0.02
17113,2.17
17145,0.73
17161,1.43
17077,4.16
17143,1.35
17147,2.03
17015,3.47
17083,3.25
24027,-0.21
24033,0.13
24003,-0.28
24005,0.31
24021,-0.38
24009,-0.38
24029,-0.57
24031,-0.03
02050,1.82
02185,0.14
02090,1.38
02130,1.69
02170,-0.17
02180,0.47
02070,0.52
02020,1.08
02261,1.0
02122,0.77
02198,1.28
04013,0.76
04023,-0.38
04015,0.54
04005,1.49
04025,1.94
04021,-0.05
05125,-0.41
05063,-0.57
05083,0.52
05069,1.83
05131,-0.1
05033,-0.31
05071,-0.29
19183,2.07
19029,2.21
19057,13.32
19065,11.95
19085,0.37
19109,0.61
19139,2.08
19143,0.47
19153,0.66
19187,1.41
19169,2.2
19193,2.1
19013,2.59
19075,-0.08
19137,7.61
19149,16.52
19019,-0.05
19045,1.83
19113,3.09
19049,0.26
19141,2.42
20153,3.22
20053,-0.71
20061,1.04
24013,-0.04
24035,-0.47
24037,-0.12
24017,-0.25
24043,0.33
24045,2.28
24015,-0.34
24011,0.74
25025,0.24
25017,-0.0
25005,-0.3
25013,1.07
25009,-0.03
25011,0.89
25027,0.11
25015,2.61
26115,1.78
26125,0.88
26059,3.8
26089,0.63
26087,3.59
26139,1.84
26021,0.74
26165,1.05
26063,1.49
26065,1.84
26109,12.15
26159,13.71
26015,8.27
26019,1.8
26153,2.55
26163,1.17
26055,2.22
26097,-0.25
26049,1.06
20099,0.36
20173,1.48
20045,4.3
46121,0.1
53039,3.0
53069,0.01
53061,-0.06
54057,-0.25
54061,1.6
54039,0.81
54077,-0.03
55033,7.61
55043,2.84
55117,2.13
55011,0.0
55063,0.13
55121,-0.13
55013,-0.22
55103,1.04
55065,13.64
55015,1.15
55059,0.49
26009,0.9
26093,1.04
26085,3.25
20209,1.35
20015,0.27
20055,-0.14
20103,0.73
20009,0.5
20161,0.36
20041,-0.08
21111,1.04
21021,-0.04
21087,1.26
21137,-0.18
21171,-0.36
26077,2.22
26107,1.49
26133,2.85
26025,0.69
26031,-0.16
26081,1.28
26145,1.45
26155,0.86
26017,1.34
26041,1.09
26047,2.85
27071,13.93
27147,1.05
27167,0.35
27067,2.38
27135,2.25
27155,3.66
27005,3.79
27053,0.5
27023,6.85
27029,0.56
27049,2.21
27059,-0.17
27063,0.16
27099,1.26
27115,2.58
27109,0.07
27009,2.49
27047,2.16
27061,2.92
27149,2.52
27139,-0.2
27157,-0.01
27103,0.57
48157,-0.47
48355,0.86
48291,-0.21
48091,-0.18
48103,-0.32
50021,0.74
50017,-0.24
50027,0.22
49049,0.26
49047,5.08
49011,-0.01
51089,0.83
51165,-0.18
21047,1.35
21059,0.73
21085,1.19
21101,0.64
