GEOID,time
48097,0.58
01127,0.69
01015,1.48
01017,1.59
01101,2.9
01095,0.99
01089,1.83
02050,2.22
02185,1.1
02130,2.16
54051,1.07
54067,0.79
54107,1.46
54061,1.2
54037,2.86
54077,0.61
54033,1.75
54069,1.17
54081,1.41
54099,0.59
12053,1.93
12057,1.73
13153,1.51
13175,0.85
18135,2.32
18183,0.67
18027,1.81
18065,2.09
18083,1.72
18095,1.52
18003,2.32
18031,2.44
18035,1.55
18079,0.36
18109,0.72
18051,1.65
18111,0.28
18141,1.85
18045,0.81
18055,1.09
18177,1.65
19023,2.06
02290,1.53
02020,2.42
02122,1.02
02230,13.52
04019,1.78
04013,1.98
04007,1.34
04009,2.22
04003,1.11
04012,1.02
04015,2.69
04005,1.63
04025,0.94
04017,2.43
48245,2.09
48439,2.01
48239,1.01
13255,1.27
13293,0.85
13303,1.39
13245,1.51
13267,0.94
13135,1.75
13015,0.79
13313,1.29
13285,1.59
12033,2.28
13119,0.64
13051,1.77
13179,0.83
13253,2.66
13277,3.11
19175,0.51
19177,0.23
19195,0.92
19001,2.41
19009,0.85
19039,0.63
19059,1.25
19107,0.4
19171,0.46
19179,0.8
19025,2.21
19027,1.93
19031,0.62
19033,1.61
19067,1.37
19073,3.12
37059,0.62
37063,1.92
37091,3.4
37129,1.45
37191,2.77
37165,1.0
37189,0.72
37001,1.05
38061,0.7
38101,2.22
48015,2.07
48089,0.47
48057,1.62
48449,0.43
48497,1.31
48321,1.97
48397,1.72
48441,1.41
48471,1.15
48427,0.96
48049,1.29
13273,1.52
13319,0.37
30081,0.47
30105,0.64
30031,2.21
30009,2.18
31019,0.67
31109,1.61
31055,2.05
38005,3.56
38025,1.59
38003,1.82
38035,1.71
38053,0.32
38055,0.97
38075,0.48
38085,1.1
38015,1.58
38093,0.63
38071,1.84
39105,0.73
39159,0.64
39131,1.03
39061,1.93
39049,1.98
39115,0.93
39157,1.47
39175,2.2
39015,2.22
05063,2.86
05083,3.21
05047,1.95
05045,1.64
05069,2.07
05033,0.53
05017,2.2
05059,1.01
05071,2.15
05049,2.12
05061,1.59
05051,1.09
05093,1.55
05139,1.71
05147,0.62
05025,2.13
05057,0.5
05031,2.14
05133,1.13
31089,0.67
31151,0.79
31173,3.7
31043,3.13
31157,1.68
31107,1.11
54019,1.85
55019,4.44
55083,0.43
55005,3.01
19155,2.11
19127,1.28
19021,2.02
19081,2.18
19183,1.29
19057,1.84
19065,1.05
19109,0.89
19169,1.13
19013,3.19
19097,0.91
19131,0.99
19137,1.2
19149,0.48
19019,2.1
19041,4.59
19045,1.18
19055,1.09
19185,1.58
19163,2.09
05149,0.65
05019,0.38
05113,1.22
05103,1.38
05091,3.17
06033,1.47
06043,1.19
06115,2.43
06013,1.84
06027,2.08
06099,2.11
06097,2.44
06103,0.99
06025,2.13
06069,2.82
06001,1.74
06067,1.92
06017,1.77
06055,2.53
06053,1.26
06075,1.36
28027,2.39
28067,6.28
28095,2.45
28051,2.24
28089,1.03
28091,2.71
55099,4.62
55075,1.28
55079,2.01
55101,1.57
55139,1.82
55033,0.46
55067,0.59
55078,1.82
55011,1.35
55035,1.33
55085,2.15
55133,2.08
55127,2.54
55023,0.85
55071,2.14
55111,2.09
55025,1.48
55031,1.18
55091,1.97
55089,1.8
55119,1.13
55137,0.82
55007,1.07
55081,1.27
55093,1.54
19141,0.64
20057,0.73
20111,1.17
20117,0.78
20001,1.63
39083,0.95
39089,1.47
39063,2.0
39071,1.24
39069,1.16
39081,0.75
39137,1.6
39047,1.32
39127,0.9
39129,0.86
39091,1.32
39119,0.77
39143,1.62
39161,2.89
39167,0.56
39171,1.71
28079,3.67
28099,2.47
28039,1.12
28049,1.7
28035,1.63
28071,1.99
28059,1.07
28087,3.2
28083,2.01
28081,2.51
28113,2.85
28129,0.71
28131,2.74
55003,2.3
55015,1.32
55055,1.03
55059,2.68
56005,3.63
56025,3.94
56009,3.76
56037,2.03
13031,0.55
13059,1.08
13089,1.95
13157,1.41
13169,3.58
13241,0.75
13287,1.63
13033,2.22
13047,1.5
13053,0.43
13055,1.54
13087,0.52
13117,1.98
13199,1.62
13207,0.69
39011,1.96
39051,1.45
39065,1.02
39009,0.63
39001,0.74
39117,0.48
39135,0.86
39003,1.68
39041,1.97
39059,1.49
39141,1.31
39023,1.26
39035,2.04
39075,1.06
39093,1.61
39109,1.59
39111,0.96
39113,2.05
39165,1.98
39005,1.27
39007,1.53
40071,1.4
40111,0.17
28105,1.04
28133,2.85
28003,2.81
28001,1.08
42045,1.71
42043,1.73
50005,0.66
49027,1.7
49045,2.03
49003,2.42
49021,2.22
49039,0.64
49049,2.69
49057,2.69
49013,2.5
49035,1.97
49011,2.43
49007,2.21
49015,0.81
49023,1.97
51093,1.45
51173,1.77
51087,2.05
