GEOID,percent_transit
17051,0.78
17107,0.43
17165,0.88
17097,4.44
17127,0.3
17017,0.2
18069,0.14
18181,0.23
18075,0.4
18145,0.11
18153,0.0
18157,3.03
18057,0.08
18005,0.33
18049,0.61
18113,0.11
18019,0.69
18063,0.07
18053,0.19
18071,0.48
18119,0.42
18183,0.05
18023,0.08
18161,0.0
18029,0.43
18093,0.04
18123,0.0
18129,0.07
18015,0.26
18045,0.83
18149,0.19
18055,0.18
19011,0.26
19061,1.0
19151,0.03
19177,1.11
19003,0.42
19009,0.14
19051,0.0
19093,0.0
19135,0.13
19167,0.19
19025,0.42
19033,0.52
19083,0.04
19117,0.0
19147,0.25
19087,0.08
19099,0.42
19157,0.04
19043,0.12
19017,0.35
19063,0.17
19081,0.09
19097,0.28
19111,0.34
19181,0.2
19123,0.52
19041,0.82
19055,0.57
13005,0.59
13025,0.82
13017,0.0
13033,0.51
13047,0.03
13053,0.0
13055,0.24
13073,0.12
13087,0.73
13115,0.38
13117,0.56
13137,0.63
13147,0.21
13185,0.3
13191,0.28
13199,0.39
13207,0.05
13237,0.0
13261,0.04
13265,0.0
13301,0.1
19185,0.73
19163,0.69
20181,0.0
20193,0.0
20127,0.19
20163,0.0
20025,0.0
20077,0.0
20111,0.53
20145,0.0
20033,0.0
20063,0.0
20079,0.04
20093,0.0
20113,0.07
05041,0.2
05049,1.26
05061,1.27
05051,0.53
05093,0.33
05115,0.61
05117,0.0
05139,0.49
05147,0.57
05023,0.0
05025,0.13
05067,0.0
05057,0.41
05135,0.0
05137,0.0
05143,0.67
05005,0.01
05003,0.3
05031,0.52
05055,0.1
05105,0.0
05111,0.04
05133,0.22
05013,0.24
05019,0.78
05075,0.06
05095,0.0
05029,0.0
05101,0.0
05001,0.03
05085,0.19
05015,0.04
05123,0.01
05119,0.84
06047,1.17
06043,2.02
06049,0.0
06013,10.85
06027,0.73
06099,0.84
06083,3.0
06103,0.27
06051,21.32
06069,0.62
13029,0.02
13035,0.0
13039,0.17
13079,1.32
13099,0.33
13069,0.16
13077,0.63
13123,0.18
13297,0.13
13317,0.22
13091,0.59
13129,0.73
13057,0.51
13113,0.86
13177,0.0
13227,0.52
13133,0.45
13075,0.17
13085,0.0
13121,7.5
15001,1.29
15003,8.05
15007,0.61
15005,1.96
16031,0.28
16063,1.32
16085,1.0
16041,0.93
16069,0.17
16055,0.32
16067,0.1
16083,0.18
16013,1.74
16015,0.0
16023,1.37
16047,0.27
16001,0.4
16007,0.52
16011,2.73
16025,0.0
16035,0.39
16051,2.75
41039,2.91
51181,2.86
51043,0.52
51117,0.43
51015,0.24
51075,0.24
51113,1.45
51161,0.27
51025,0.17
51131,1.25
51163,0.32
51720,3.76
51570,0.92
51021,0.57
51023,0.0
51520,0.86
51830,3.47
51035,0.03
06067,2.47
06017,1.44
06053,1.58
06075,34.77
06073,2.95
06107,0.69
06023,1.79
06003,0.61
06039,0.48
06087,3.01
06105,1.34
06065,1.25
06071,1.39
06041,9.63
06061,1.08
06089,0.58
06095,3.19
06011,0.15
28029,0.07
28049,0.55
28145,0.0
28139,0.02
28035,0.32
28071,0.75
28087,0.01
28157,0.29
28065,1.13
28123,1.38
28163,0.0
28011,0.0
28113,0.34
28131,0.26
28069,0.0
28133,0.63
28001,0.98
28033,0.17
42045,10.35
42111,0.09
